x,y,z,trigger,time
9.872156,-3.086047,64.16082,0,0.7111126
8.495967,-2.275661,53.41291,0,0.7336318
7.153486,-0.4306095,45.66525,0,0.8560625
5.239187,-0.058302,24.61192,0,0.9554861
5.239133,-0.05650958,24.61011,0,0.9668161
5.224545,-0.05612753,24.60153,0,1.033376
5.183509,-0.04669193,24.59721,0,1.044587
5.165693,-0.04181888,24.60606,0,1.05665
5.155643,-0.03896565,24.61593,0,1.068137
5.145657,-0.03595399,24.63569,0,1.080237
15.69669,0.4262863,73.26028,0,2.789228
6.99144,0.04487536,41.49082,0,3.221915
14.52218,1.544629,70.81664,0,3.332658
5.326336,0.4003389,27.0724,0,3.913366
5.344874,0.3936169,27.04855,0,3.935388
5.442805,0.3941586,27.06988,0,3.946763
5.402189,0.3782977,27.03923,0,3.958094
5.36185,0.3601651,27.04955,0,4.003297
6.946469,0.05246182,41.5018,0,4.702105
6.942107,0.000741738,41.53089,0,4.724177
8.07812,0.3921028,52.23742,0,4.746519
8.028611,0.424089,52.27372,0,4.768848
8.037587,0.4226539,52.25711,0,4.77999
8.143091,0.4488887,52.27863,0,4.81324
8.086743,0.4806141,52.28193,0,4.
